register;country;description;designation;points;price;province;region_1;region_2;taster_name;taster_twitter_handle;title;variety;winery;ajuste_vaiety
12066;US       ;This simple, soft wine has a ripe, chocolaty blackberry flavor. Not showing much structure, this is Malbec in name only.                                                                                                                                                                                                                ;Estate                                                          ;82;26;California       ;Santa Ynez Valley         ;Central Coast    ;                  ;                ;Buttonwood Farm 2010 Estate Malbec (Santa Ynez Valley)                                            ;Malbec                    ;Buttonwood Farm                ;Wine Malbec   
12336;Argentina;Hard, charred oak and cedar are the lead aromas on this woody Malbec, which also shows lemon peel and blackberry on the nose. The palate is tight and pushy, mixing flavors of toasty black fruits with raw oak resin and bitter chocolate. On the finish, there's heat and even more oak.                                              ;Reserve                                                         ;88;17;Mendoza Province ;Tupungato                 ;                 ;Michael Schachner ;@wineschach     ;Finca Sophenia 2012 Reserve Malbec (Tupungato)                                                    ;Malbec                    ;Finca Sophenia                 ;Wine Malbec   
12352;Argentina;Big aromas of blackberry and raspberry feed into a full, fresh and ultimately standard palate with grapy blackberry flavors that show a controlled herbal side. Toasty and a touch bitter on the finish, it has a minty aftertaste.                                                                                                     ;Leo                                                             ;88;17;Mendoza Province ;Mendoza                   ;                 ;Michael Schachner ;@wineschach     ;Valentin Bianchi 2012 Leo Malbec (Mendoza)                                                        ;Malbec                    ;Valentin Bianchi               ;Wine Malbec   
12464;Argentina;Floral blueberry aromas are candied, artificial smelling and sweet, and the palate is supremely rich, sweet, candied and unctuous. About as thick and ripe as you get in a value Malbec, but also over the top with baked fruit and candy. Needs to be dialed back a notch.                                                             ;Urban Uco                                                       ;84;11;Mendoza Province ;Uco Valley                ;                 ;Michael Schachner ;@wineschach     ;O. Fournier 2008 Urban Uco Malbec (Uco Valley)                                                    ;Malbec                    ;O. Fournier                    ;Wine Malbec   
12472;France   ;A red-fruited wine, this is soft and ready to drink. Made from fruit sourced near the Lot River, this has ripe tannins and a juicy heart.                                                                                                                                                                                               ;Sélection                                                       ;86;23;Southwest France ;Cahors                    ;                 ;Roger Voss        ;@vossroger      ;Garriotin 2011 Sélection Malbec (Cahors)                                                          ;Malbec                    ;Garriotin                      ;Wine Malbec   
12518;US       ;Herbal and tight, with a whiff of burnt rubber in front of some tart fruit. There is some concentration, and with more bottle age the wine may yet flesh out a bit.                                                                                                                                                                     ;Chelle den Millie Vineyard                                      ;86;36;Washington       ;Columbia Valley (WA)      ;Columbia Valley  ;Paul Gregutt      ;@paulgwine      ;Basel Cellars 2008 Chelle den Millie Vineyard Malbec (Columbia Valley (WA))                       ;Malbec                    ;Basel Cellars                  ;Wine Malbec   
12548;Argentina;Char and gritty scents ride heavily on the bouquet, which also shows fresher notes of cassis and raspberry. This excels via a natural feeling, pulpy palate and flavors of raspberry and red plum accented by pepper and herbs. A lightly herbal, minty finish offers length and good texture.                                          ;Unsung Hero                                                     ;88;26;Mendoza Province ;Mendoza                   ;                 ;Michael Schachner ;@wineschach     ;Mendoza Vineyards 2011 Unsung Hero Malbec (Mendoza)                                               ;Malbec                    ;Mendoza Vineyards              ;Wine Malbec   
12558;Chile    ;Dark and muscular up front, with a bright purple color and grapy, woody aromas, this Malbec is pleasant, albeit clipped on the palate. Short, punchy plum and boysenberry flavors finish with a barrel note or two, but not much more.                                                                                                  ;Reserva                                                         ;87;11;Colchagua Valley ;                          ;                 ;Michael Schachner ;@wineschach     ;Autoritas 2014 Reserva Malbec (Colchagua Valley)                                                  ;Malbec                    ;Autoritas                      ;Wine Malbec   
12746;US       ;Yorkville's Malbec has pleasing aromas of dark plum and fig and is medium-bodied. A good wine that's fairly low in alcohol.                                                                                                                                                                                                             ;Rennie Vineyard                                                 ;85;28;California       ;Yorkville Highlands       ;North Coast      ;Virginie Boone    ;@vboone         ;Yorkville Cellars 2009 Rennie Vineyard Malbec (Yorkville Highlands)                               ;Malbec                    ;Yorkville Cellars              ;Wine Malbec   
12806;US       ;Reductive at first, this wine opens to show aromas of coffee, dried herbs, carob and eucalyptus, with the barrel notes initially taking the lead followed by blue fruit. The fruit flavors are silky in feel with abundant coffee and plum notes backed by rustic tannins.                                                              ;Phinny Hill Vineyard                                            ;88;38;Washington       ;Columbia Valley (WA)      ;Columbia Valley  ;Sean P. Sullivan  ;@wawinereport   ;Castillo De Feliciana 2012 Phinny Hill Vineyard Malbec (Columbia Valley (WA))                     ;Malbec                    ;Castillo De Feliciana          ;Wine Malbec   
12974;Chile    ;Scratchy aromas of red plum and currant are herbal and rubbery. In the mouth, this is tart and shows sharp acidity. Herbal plum and raspberry flavors finish with minty, green notes.                                                                                                                                                   ;Reserva                                                         ;84;13;Maule Valley     ;                          ;                 ;Michael Schachner ;@wineschach     ;Apaltagua 2013 Reserva Malbec (Maule Valley)                                                      ;Malbec                    ;Apaltagua                      ;Wine Malbec   
13048;Argentina;Aromas of tire rubber mix with plum and berry on a rustic nose. This wine displays a strong grip but also shearing tartaric acidity. Smoky plum and berry flavors suggest char and hickory, finishing spicy and savory. Drink through 2020                                                                                              ;                                                                ;90;30;Mendoza Province ;Mendoza                   ;                 ;Michael Schachner ;@wineschach     ;El Enemigo 2015 Malbec (Mendoza)                                                                  ;Malbec                    ;El Enemigo                     ;Wine Malbec   
13090;Peru     ;Roasted and earthy smelling, with a pinch of iodine and even a whiff of bacon or ham. Rich, full and a touch sticky on the tongue, with baked berry and chocolate flavors. Mellow and sweet on the back end. 100% Malbec.                                                                                                               ;Halcón de la Viña                                               ;85;15;Ica              ;                          ;                 ;Michael Schachner ;@wineschach     ;Tacama 2008 Halcón de la Viña Malbec (Ica)                                                        ;Malbec                    ;Tacama                         ;Wine Malbec   
13184;France   ;Produced from Malbec that comes mainly from the Cahors region, this soft, ripe and fruity wine has a light touch of tannins that show beneath the berry fruits, supple texture and tight acidity. It is ready to drink, but will be better in 2015.                                                                                     ;La Réserve                                                      ;87;13;France Other     ;Vin de France             ;                 ;Roger Voss        ;@vossroger      ;Lionel Osmin & Cie 2011 La Réserve Malbec (Vin de France)                                         ;Malbec                    ;Lionel Osmin & Cie             ;Wine Malbec   
13196;US       ;Grape soda, prune, leather, graphite, dust and black tobacco blend into an intriguing nose on this estate Malbec from Paso's Eastside. It's a little rustic around the edges once sipped, but pleasantly so. The mouthfeel is soft, the flavors are peppery and the tannins and acidity are built to last.                              ;                                                                ;86;28;California       ;Paso Robles               ;Central Coast    ;Matt Kettmann     ;@mattkettmann   ;Still Waters 2010 Malbec (Paso Robles)                                                            ;Malbec                    ;Still Waters                   ;Wine Malbec   
13224;Argentina;Earthy, rubbery berry aromas are the set up to a full palate with flavors of rubber, roasted berry, saltiness and plum. A spicy, peppery finish with a spot of oak comes with freshness and good overall feel.                                                                                                                          ;                                                                ;84;9;Other            ;Argentina                 ;                 ;Michael Schachner ;@wineschach     ;San Huberto 2011 Malbec (Argentina)                                                               ;Malbec                    ;San Huberto                    ;Wine Malbec   
13366;Argentina;Ripe, loamy blackberry, prune and cassis aromas lead to a structured palate that boasts big, firm tannins. This offers dark, ripe flavors of wild berry, black plum and chocolate prior to a toasty finish that's largely subtle and smooth. Drink through 2021.                                                                        ;Numina Spirit Vineyard Estate Bottled                           ;92;41;Mendoza Province ;Valle de Uco              ;                 ;Michael Schachner ;@wineschach     ;Salentein 2013 Numina Spirit Vineyard Estate Bottled Malbec (Valle de Uco)                        ;Malbec                    ;Salentein                      ;Wine Malbec   
13378;Argentina;Ripe plum and berry aromas are wrapped in a bed of creamy, spicy, cheesy oak and related vanilla and tobacco scents. This is full and generous on the palate, but also a touch acidic. Plum, boysenberry and cherry flavors finish with spice, toast and blackened notes. Drink through 2021.                                           ;El Alto Parcel                                                  ;92;100;Mendoza Province ;Luján de Cuyo             ;                 ;Michael Schachner ;@wineschach     ;Doña Paula 2011 El Alto Parcel Malbec (Luján de Cuyo)                                             ;Malbec                    ;Doña Paula                     ;Wine Malbec   
13380;Argentina;"Ripe berry aromas come with a smoky accent of tree bark. This wine is extracted and brimming with black-fruit tannins. Flavors of blackberry and cassis are secure and framed by toasty, slightly burnt oak. Blocky, big and long-running on the finish; drink through 2022.                                                            ";Don Nicanor Single Vineyard Villa Blanca                        ;92;54;Mendoza Province ;Luján de Cuyo             ;                 ;Michael Schachner ;@wineschach     ;Nieto Senetiner 2010 Don Nicanor Single Vineyard Villa Blanca Malbec (Luján de Cuyo)              ;Malbec                    ;Nieto Senetiner                ;Wine Malbec   
13392;Argentina;Raspberry, blackberry and tobacco aromas settle in front of a chewy, round, solidly built palate. Medicinal berry flavors come with notes of rooty spice and resiny oak. A finely oaked finish holds root beer and dark-berry flavors that smoothly fade out. Drink through 2021.                                                       ;Raftacco Vineyards                                              ;92;40;Mendoza Province ;Mendoza                   ;                 ;Michael Schachner ;@wineschach     ;Gratia 2011 Raftacco Vineyards Malbec (Mendoza)                                                   ;Malbec                    ;Gratia                         ;Wine Malbec   
13712;Chile    ;This is a jammy, lusty wine with aromatic notes of graphite on top of core blackberry scents. The palate is chunky and full, while the flavor profile is pure jammy blackberry. A quick, staunch finish is a fine conclusion.                                                                                                           ;Gran Reserva                                                    ;90;17;Colchagua Valley ;                          ;                 ;Michael Schachner ;@wineschach     ;Alto Los Romeros 2011 Gran Reserva Malbec (Colchagua Valley)                                      ;Malbec                    ;Alto Los Romeros               ;Wine Malbec   
13748;US       ;Briary berry flavors highlight this estate-grown Malbec. It's flecked with pepper throughout a medium-length finish.                                                                                                                                                                                                                    ;                                                                ;88;30;Washington       ;Columbia Valley (WA)      ;Columbia Valley  ;Paul Gregutt      ;@paulgwine      ;Gamache 2009 Malbec (Columbia Valley (WA))                                                        ;Malbec                    ;Gamache                        ;Wine Malbec   
13940;Argentina;Full, fresh and bright Malbec with only the good stuff that has made this variety so popular. The color is lusty, the aromas fruity and clean, and the feel is forward with proper body and acids. Tastes like pure wild raspberry and black cherry, with hints of vanilla and oak. Appealing in every way.                             ;                                                                ;89;15;Mendoza Province ;Mendoza                   ;                 ;Michael Schachner ;@wineschach     ;Tapiz 2009 Malbec (Mendoza)                                                                       ;Malbec                    ;Tapiz                          ;Wine Malbec   
14092;US       ;A bit rustic and rowdy, in the way of Malbec, with big, edgy tannins and a scour of acidity. Whatever elegance it lacks, it makes up for in the sheer power of its blackberry and coffee fruit flavors. Will probably age forever, gradually mellowing and sweetening, without ever showing much complexity.                            ;                                                                ;87;42;California       ;Sonoma Valley             ;Sonoma           ;                  ;                ;Arrowood 2007 Malbec (Sonoma Valley)                                                              ;Malbec                    ;Arrowood                       ;Wine Malbec   
14286;Argentina;After a rubbery, gaseous smelling opening, things settle on standard berry aromas. The palate feels full and fresh, with zesty acidity. Flavors of rubber and generic black fruits finish solid and dark.                                                                                                                               ;Natal                                                           ;86;14;Mendoza Province ;Mendoza                   ;                 ;Michael Schachner ;@wineschach     ;Alpamanta 2010 Natal Malbec (Mendoza)                                                             ;Malbec                    ;Alpamanta                      ;Wine Malbec   
14396;Argentina;Fairly jumpy and foxy on the nose, but underneath you'll find zippy red fruit and gumball sweetness. The palate has a syrupy feel with decent tannins and a pedestrian structure. Tastes sweet, ripe and candied, with mild raisin on the finish.                                                                                       ;Reserva                                                         ;84;15;Mendoza Province ;Mendoza                   ;                 ;Michael Schachner ;@wineschach     ;Bautista Simona 2007 Reserva Malbec (Mendoza)                                                     ;Malbec                    ;Bautista Simona                ;Wine Malbec   
14400;Argentina;Fairly round aromas of blackberry are also slightly grapey, while the plump palate offers dark fruit flavors and a choppy mouthfeel. Finishes with a taste of powdered drink mix and grape bubblegum. Decent but shows all the signs of the large-production, commercial wine that it is.                                               ;Estate Bottled                                                  ;84;10;Mendoza Province ;Uco Valley                ;                 ;Michael Schachner ;@wineschach     ;Finca El Portillo 2008 Estate Bottled Malbec (Uco Valley)                                         ;Malbec                    ;Finca El Portillo              ;Wine Malbec   
14512;Argentina;Reedy red-fruit aromas are woody and a touch medicinal. This feels round but edgy, with grabby prodding tannins. Savory herbal berry flavors with salted plum notes finish with overt oak and rubbery tannins.                                                                                                                          ;                                                                ;88;22;Mendoza Province ;Luján de Cuyo             ;                 ;Michael Schachner ;@wineschach     ;Luigi Bosca 2014 Malbec (Luján de Cuyo)                                                           ;Malbec                    ;Luigi Bosca                    ;Wine Malbec   
14540;Argentina;Aromas of powdered bubble gum, plum and chlorine aren't great, nor is the clamping, gritty feeling palate. With flavors of tart citrus and not much more, this is a limited but decent South American rosé.                                                                                                                             ;Premium Rosé of                                                 ;84;17;Mendoza Province ;Luján de Cuyo             ;                 ;Michael Schachner ;@wineschach     ;Piattelli 2014 Premium Rosé of Malbec (Luján de Cuyo)                                             ;Malbec                    ;Piattelli                      ;Wine Malbec   
14634;Argentina;Ripe, dense blackberry aromas are capped by creamy, toasty, chocolaty oak. In the mouth, this touches up against syrupy and cloying. Toasty oak, graphite, vanilla and milk chocolate flavors accent core blackberry, while heat and a chocolaty oak flavor drive the finish. Drink through 2020.                                       ;Finca Los Tanos                                                 ;90;35;Mendoza Province ;Uco Valley                ;                 ;Michael Schachner ;@wineschach     ;Altocedro 2012 Finca Los Tanos Malbec (Uco Valley)                                                ;Malbec                    ;Altocedro                      ;Wine Malbec   
14742;US       ;Dark color and black fruit aromas set the expectation for a big wine, but this is remarkably well-balanced, poised and smooth. Its black cherry and blackberry flavors are satifying, dry and not overripe, and its hints of cocoa add delicious complexity.                                                                            ;                                                                ;90;25;California       ;Red Hills Lake County     ;                 ;Jim Gordon        ;@gordone_cellars;Chacewater 2013 Malbec (Red Hills Lake County)                                                    ;Malbec                    ;Chacewater                     ;Wine Malbec   
14882;Argentina;The old-vines Linda vineyard Malbec is a particular wine, one that shows a high herbal, almost weedy nose that's heavy with tomato leaf. This is choppy and bumpy on the palate. Spicy red-berry and tomato flavors finish with pulling tannins and a lasting herbal character.                                                         ;Finca La Linda Old Vines                                        ;87;22;Mendoza Province ;Luján de Cuyo             ;                 ;Michael Schachner ;@wineschach     ;Luigi Bosca 2014 Finca La Linda Old Vines Malbec (Luján de Cuyo)                                  ;Malbec                    ;Luigi Bosca                    ;Wine Malbec   
14904;Argentina;Generic but pleasant berry aromas are a touch powdery and dusty. This feels medium to full in body. Dry spice notes are intermixed with generic berry flavors prior to a slightly oaky, lightly minty finish.                                                                                                                           ;[+]                                                             ;87;11;Mendoza Province ;Mendoza                   ;                 ;Michael Schachner ;@wineschach     ;Santa Julia 2016 [+] Malbec (Mendoza)                                                             ;Malbec                    ;Santa Julia                    ;Wine Malbec   
14966;Argentina;Berry and black-plum aromas are dense. This wine from silt (limo) soils feels a bit tannic and rugged. Flavors of plum and berry fruits are spicy, while the finish is savory tasting and long, with moderate complexity. Drink through 2021.                                                                                           ;Finca La Escuela El Limo                                        ;90;30;Mendoza Province ;Mendoza                   ;                 ;Michael Schachner ;@wineschach     ;TintoNegro 2013 Finca La Escuela El Limo Malbec (Mendoza)                                         ;Malbec                    ;TintoNegro                     ;Wine Malbec   
15202;France   ;This is the Couture family's top-of-the-range wine from Eugénie. It is dense and layered with wood, blackberry fruits and a complex structure of tannins, smoky flavors and acidity. This is a serious wine that needs to age. It is still developing so drink from 2019.                                                               ;Haute Collection                                                ;94;40;Southwest France ;Cahors                    ;                 ;Roger Voss        ;@vossroger      ;Château Eugénie 2013 Haute Collection Malbec (Cahors)                                             ;Malbec                    ;Château Eugénie                ;Wine Malbec   
15364;Argentina;Dark aromas suggest shoe polish and roasted black fruits. This feels rubbery and chunky, while the flavor profile includes quick pokes of cherry, plum and rubbery berry before a salty-tasting finish.                                                                                                                                 ;                                                                ;86;19;Mendoza Province ;Uco Valley                ;                 ;Michael Schachner ;@wineschach     ;Jed Wines 2012 Malbec (Uco Valley)                                                                ;Malbec                    ;Jed Wines                      ;Wine Malbec   
15436;Argentina;Warm woodsy berry and prune aromas blend with notes of animal fur and mint. This is full and grabby, but not out of shape. Flavors of raisin and blackberry feature accents of charred oak and creosote, while this ends with roasted, blackened, meaty flavors, mild heat and sticky tannins. Drink through 2021.                      ;Synthesis                                                       ;90;35;Mendoza Province ;Tupungato                 ;                 ;Michael Schachner ;@wineschach     ;Finca Sophenia 2014 Synthesis Malbec (Tupungato)                                                  ;Malbec                    ;Finca Sophenia                 ;Wine Malbec   
15442;US       ;Cracked pepper, dried blueberries, dried violets and strong bay-leaf aromas show prominently on the nose of this bottling from the southern stretches of the Bay Area. There is solid depth to the flavors, with dill, fennel and a savory, peppery teriyaki element spicing up the blackberry and olallieberry fruit.                  ;Thérèse Vineyards Dos Niñas Vineyard                            ;90;40;California       ;Santa Clara Valley        ;Central Coast    ;Matt Kettmann     ;@mattkettmann   ;Martin Ranch 2013 Thérèse Vineyards Dos Niñas Vineyard Malbec (Santa Clara Valley)                ;Malbec                    ;Martin Ranch                   ;Wine Malbec   
15630;France   ;Black in color, this dense wine has power, concentration and a hugely tannic structure. Still in its infancy, it is darkly dominated by its dry, firm texture, the black fruits still hiding behind the framework and the acidity. Give this complex wine until 2018 before drinking.                                                   ;                                                                ;92;19;Southwest France ;Cahors                    ;                 ;Roger Voss        ;@vossroger      ;Château de Chambert 2010 Malbec (Cahors)                                                          ;Malbec                    ;Château de Chambert            ;Wine Malbec   
15754;Argentina;High Note reaches the high notes, the middle notes and the bass notes. It starts with dark berry aromas and clarity, while the palate is lively and fresh, with cherry and a light undercurrent of olive for flavors. A full, honest Malbec with size, character and balance.                                                           ;Elevated                                                        ;88;13;Mendoza Province ;Uco Valley                ;                 ;Michael Schachner ;@wineschach     ;High Note 2007 Elevated Malbec (Uco Valley)                                                       ;Malbec                    ;High Note                      ;Wine Malbec   
15892;US       ;Malbec is an extreme rarity in this tiny appellation. This one brings quite light cherry and spice aromas followed by quite sweet cherry flavors. It brings appeal but one wants more aromatically.                                                                                                                                     ;Estate Heart of the Hill Vineyard                               ;88;35;Washington       ;Red Mountain              ;Columbia Valley  ;Sean P. Sullivan  ;@wawinereport   ;Kiona 2014 Estate Heart of the Hill Vineyard Malbec (Red Mountain)                                ;Malbec                    ;Kiona                          ;Wine Malbec   
15916;US       ;Herb, flower and exotic spice aromas lead to broad creamy-feeling fruit flavors that persist on the finish.                                                                                                                                                                                                                             ;Red Wine                                                        ;88;36;Washington       ;Columbia Valley (WA)      ;Columbia Valley  ;Sean P. Sullivan  ;@wawinereport   ;Basel Cellars 2013 Red Wine Malbec (Columbia Valley (WA))                                         ;Malbec                    ;Basel Cellars                  ;Wine Malbec   
16076;Argentina;Stalky aromas suggest hay and green herbs, with raspberry in the backdrop. It's hot and short in terms of mouthfeel, with herbal flavors leading the way and berry fruit running behind. Dry red fruit and herbal notes dominate the finish.                                                                                            ;Finca La Niña                                                   ;84;10;Mendoza Province ;Mendoza                   ;                 ;Michael Schachner ;@wineschach     ;Don Cristobal 1492 2010 Finca La Niña Malbec (Mendoza)                                            ;Malbec                    ;Don Cristobal 1492             ;Wine Malbec   
16150;US       ;Pure, almost crystalline in its expression of fruit, this 100% Malbec captures the essence of mountain berries. Juicy and perfectly balanced, it suggests a range of notes from tangerine to blueberry to wild raspberry, with lightly peppery, fine-grained tannins.                                                                   ;                                                                ;92;25;Washington       ;Walla Walla Valley (WA)   ;Columbia Valley  ;Paul Gregutt      ;@paulgwine      ;Seven Hills 2009 Malbec (Walla Walla Valley (WA))                                                 ;Malbec                    ;Seven Hills                    ;Wine Malbec   
16204;US       ;Pure Malbec, sourced from the McClellan estate and Minnick Hills vineyards, this is a tight and well-crafted mix of flavors—fig, blackberry, blueberry jam, a whiff of dried herb and white pepper, and tannins grounded in clean earth. The aging, principally Hungarian oak, brings in coffee highlights.                             ;                                                                ;90;30;Washington       ;Walla Walla Valley (WA)   ;Columbia Valley  ;Paul Gregutt      ;@paulgwine      ;Seven Hills 2012 Malbec (Walla Walla Valley (WA))                                                 ;Malbec                    ;Seven Hills                    ;Wine Malbec   
16206;Argentina;Aromas of blackberry, balsam wood, lemony oak and forest floor lead into a fully stocked, hefty palate. Flavors of black fruits, licorice, herbs and oak finish bright but level. What this lacks in complexity is made up for in ripe berry flavors and overall balance.                                                               ;Reserva                                                         ;90;24;Mendoza Province ;Mendoza                   ;                 ;Michael Schachner ;@wineschach     ;Sur de los Andes 2012 Reserva Malbec (Mendoza)                                                    ;Malbec                    ;Sur de los Andes               ;Wine Malbec   
16256;Argentina;Dark in color with a magenta tint, this Malbec is spunky and a touch crude on the nose, with wild berry and animal fur aromas. There's angularity to the palate, which is bland in the middle. Black-fruit, herbal, savory flavors finish short on volume and complexity.                                                               ;Serie A                                                         ;86;15;Mendoza Province ;Uco Valley                ;                 ;Michael Schachner ;@wineschach     ;Zuccardi 2012 Serie A Malbec (Uco Valley)                                                         ;Malbec                    ;Zuccardi                       ;Wine Malbec   
16278;Argentina;This friendly wine offers fresh, jammy berry and cherry aromas. The palate has a bit of grit and stickiness to it, while blackberry, black cherry and boysenberry flavors are ripe, sweet, not pushy and ultimately satisfying.                                                                                                         ;Trumpeter                                                       ;87;11;Mendoza Province ;Mendoza                   ;                 ;Michael Schachner ;@wineschach     ;Rutini 2012 Trumpeter Malbec (Mendoza)                                                            ;Malbec                    ;Rutini                         ;Wine Malbec   
16398;Argentina;Loud berry and oak aromas are a touch herbal. Typical for Mendoza Malbec, this is round and oaky on the palate, with related vanilla, licorice and bitter coffee flavors on top of core blackberry. A relatively smooth finish makes this well worth a go.                                                                              ;Reserve                                                         ;87;16;Mendoza Province ;Mendoza                   ;                 ;Michael Schachner ;@wineschach     ;Alma Andina 2012 Reserve Malbec (Mendoza)                                                         ;Malbec                    ;Alma Andina                    ;Wine Malbec   
16630;Argentina;Black as night in color then lush, ripe and silky smooth on the nose, this heady Malbec offers aromas of marzipan, balsam, licorice and cassis. The palate is intense and tannic, with lusty flavors of blackberry, prune and chocolate. Finishing flavors of mocha, cocoa and toast are lush and long. Drink through 2018.             ;Lindaflor La Violeta                                            ;93;111;Mendoza Province ;Uco Valley                ;                 ;Michael Schachner ;@wineschach     ;Monteviejo 2009 Lindaflor La Violeta Malbec (Uco Valley)                                          ;Malbec                    ;Monteviejo                     ;Wine Malbec   
16912;Chile    ;Jammy berry and pastry aromas are basic but flat. This feels easy and fruity, but not the least bit exact. Generic black fruit and berry flavors end with notes of plum and licorice.                                                                                                                                                   ;                                                                ;85;8;Central Valley   ;                          ;                 ;Michael Schachner ;@wineschach     ;Autoritas 2014 Malbec (Central Valley)                                                            ;Malbec                    ;Autoritas                      ;Wine Malbec   
16984;Argentina;A lush, pure bouquet with plum and berry aromas fails to carry through. The palate on this seemingly ripe Malbec is tangy, shrill and high in acidity. Flavors of red plum and currant are semisour, while the finish is long and crisp due to churning acids.                                                                          ;                                                                ;84;22;Mendoza Province ;Uco Valley                ;                 ;Michael Schachner ;@wineschach     ;Recuerdo 2012 Malbec (Uco Valley)                                                                 ;Malbec                    ;Recuerdo                       ;Wine Malbec   
17030;US       ;Coming from an up-and-coming region of the valley, this wine is direct in its appeal, with opulent aromas of dark plum, grape gummy, peppery spices and an herbal top note. The flavors are broad and pure, showing a deft touch. Coffee flavors linger on the finish.                                                                  ;Summit View Vineyard                                            ;90;44;Washington       ;Walla Walla Valley (WA)   ;Columbia Valley  ;Sean P. Sullivan  ;@wawinereport   ;Kontos 2013 Summit View Vineyard Malbec (Walla Walla Valley (WA))                                 ;Malbec                    ;Kontos                         ;Wine Malbec   
17066;Argentina;Punchy and grapy on the nose, this bright Malbec feels edgy and rubbery. Flavors of spicy black cherry and kirsch finish solidly, with a hint of chocolate flavor.                                                                                                                                                                      ;                                                                ;85;14;Mendoza Province ;Tupungato                 ;                 ;Michael Schachner ;@wineschach     ;Domaine Bousquet 2015 Malbec (Tupungato)                                                          ;Malbec                    ;Domaine Bousquet               ;Wine Malbec   
17144;Argentina;Stalky, oaky and rustic on the nose, this is a creamy, woody, resiny Malbec with oak-based flavors of plastic and vanilla along with slightly stewed, baked fruit. Clove and medicinal flavors are prominent on the finish.                                                                                                             ;Clásico                                                         ;84;12;Mendoza Province ;Luján de Cuyo             ;                 ;Michael Schachner ;@wineschach     ;Bodega Goulart 2011 Clásico Malbec (Luján de Cuyo)                                                ;Malbec                    ;Bodega Goulart                 ;Wine Malbec   
17154;Argentina;Sulfur, burnt matchstick and powdered sugar aromas make up the bouquet. This Malbec-derived sparkler is round and full, with a light bubble bead. Heavy, sweet-tasting stone-fruit flavors finish melony and sugary sweet.                                                                                                              ;Celestina Método Tradicional Rosé of                            ;84;20;Mendoza Province ;Mendoza                   ;                 ;Michael Schachner ;@wineschach     ;Reginato 2011 Celestina Método Tradicional Rosé of Malbec (Mendoza)                               ;Malbec                    ;Reginato                       ;Wine Malbec   
17230;France   ;Bright, fruity and with light tannins, this is a generous, open approach to Malbec. It has fruit more than structure, plus plenty of black plums and ripe berries sharpened by acidity. It's ready to drink.                                                                                                                            ;Purple by Lagrezette                                            ;86;14;Southwest France ;Cahors                    ;                 ;Roger Voss        ;@vossroger      ;Château Lagrézette 2012 Purple by Lagrezette Malbec (Cahors)                                      ;Malbec                    ;Château Lagrézette             ;Wine Malbec   
17234;France   ;Light wood-aging has given this wine some rich structure while keeping its natural fruity character. Black currant fruitiness dominates the attractive juicy nature of the wine with its smooth texture and final acidity. Drink from 2016.                                                                                             ;                                                                ;86;16;Southwest France ;Cahors                    ;                 ;Roger Voss        ;@vossroger      ;Domaine du Théron 2013 Malbec (Cahors)                                                            ;Malbec                    ;Domaine du Théron              ;Wine Malbec   
17274;US       ;Nicely balanced and detailed, this Malbec includes small amounts of Cab Franc and Syrah. Tangy raspberry and spicy strawberry jam fruit flavors are dusted with toast and cracker notes. The wine spent 18 months in half new, half neutral oak barrels.                                                                                ;Hogback Ridge Vineyard                                          ;89;30;Oregon           ;Columbia Valley (OR)      ;Oregon Other     ;Paul Gregutt      ;@paulgwine      ;Nuthatch Cellars 2008 Hogback Ridge Vineyard Malbec (Columbia Valley (OR))                        ;Malbec                    ;Nuthatch Cellars               ;Wine Malbec   
17382;US       ;On first pour, the aromas of toast, char, spice and herb show some reduction that blows off over time. The purple-fruit flavors are lighter in style, showing a pleasing sense of purity, with the concentration dipping in the middle before coming back together on the finish.                                                       ;Reserve Beverly Vineyard                                        ;88;40;Washington       ;Columbia Valley (WA)      ;Columbia Valley  ;Sean P. Sullivan  ;@wawinereport   ;Columbia Crest 2014 Reserve Beverly Vineyard Malbec (Columbia Valley (WA))                        ;Malbec                    ;Columbia Crest                 ;Wine Malbec   
17552;Argentina;Black cherry and blackberry aromas are ripe, with a touch of prune weighing in. In the mouth, punchy acidity sticks out. Wiry raspberry and plum flavors are surprisingly tart and underdeveloped, while lactic oak notes and choppy acidity make for a jumbled finish.                                                                 ;Expresión                                                       ;86;14;Mendoza Province ;Mendoza                   ;                 ;Michael Schachner ;@wineschach     ;Mi Terruño 2012 Expresión Malbec (Mendoza)                                                        ;Malbec                    ;Mi Terruño                     ;Wine Malbec   
17638;Argentina;With ripe aromas of cough syrup, baked berry, cherry and smoke, this Malbec offers a bit of everything. The palate is full but has energy, and the flavors of boysenberry, blueberry and chocolate come in a big, pounding wave. Finishes chunky and jammy, with adequate freshness.                                                    ;Juan Benegas                                                    ;87;12;Mendoza Province ;Mendoza                   ;                 ;Michael Schachner ;@wineschach     ;Benegas 2009 Juan Benegas Malbec (Mendoza)                                                        ;Malbec                    ;Benegas                        ;Wine Malbec   
17678;Argentina;Horsey, overripe aromas don't convey a sense of balance. As the nose indicates, this comes across heavy and syrupy, with blocky tannins. Stewy flavors of blackberry and prune finish with hard tannins.                                                                                                                                ;El Gran                                                         ;85;35;Mendoza Province ;Mendoza                   ;                 ;Michael Schachner ;@wineschach     ;Ricardo Santos 2009 El Gran Malbec (Mendoza)                                                      ;Malbec                    ;Ricardo Santos                 ;Wine Malbec   
